INDNO,DlyCalDt,DlyTotRet,DlyTotInd,DlyIncRet,DlyUsdCnt,DlyTotVal
1000500,1990-01-02,0.017527,633.75,0.000000,500,2371902979
1000500,1990-01-03,-0.002028,632.47,0.000020,500,2367046297
1000500,1990-01-04,-0.007913,627.46,0.000434,500,2347288970
1000500,1990-01-05,-0.010069,621.14,0.000023,500,2323602293
1000500,1990-01-08,0.004798,624.12,0.000088,500,2334547314
1000500,1990-01-09,-0.011822,616.74,0.000011,500,2306922544
1000500,1990-01-10,-0.006397,612.80,0.000010,500,2292141630
1000500,1990-01-11,0.003555,614.98,0.000000,500,2300291097
1000500,1990-01-12,-0.024482,599.92,0.000173,500,2243576615
1000500,1990-01-15,-0.009086,594.47,0.000000,500,2223191717
1000500,1990-01-16,0.011360,601.22,0.000047,500,2248342270
1000500,1990-01-17,-0.009650,595.42,0.000038,500,2226560594
1000500,1990-01-18,0.002464,596.89,0.000000,500,2232047319
1000500,1990-01-19,0.002848,598.59,0.000029,500,2238338343
1000500,1990-01-22,-0.025516,583.32,0.000103,500,2180994470
1000500,1990-01-23,0.001458,584.17,0.000006,500,2184161078
1000500,1990-01-24,-0.001784,583.12,0.000192,500,2179844151
1000500,1990-01-25,-0.013214,575.42,0.000074,500,2150879202
1000500,1990-01-26,-0.000937,574.88,0.000094,500,2148663191
1000500,1990-01-29,-0.001480,574.03,0.000211,500,2145029805
1000500,1990-01-30,-0.006820,570.11,0.000258,500,2129848177
1000500,1990-01-31,0.018505,580.66,0.000002,500,2169257166
1000500,1990-02-01,-0.000526,580.36,0.000150,500,2169125563
1000500,1990-02-02,0.006636,584.21,0.000161,500,2183169166
1000500,1990-02-05,0.003658,586.35,0.000732,500,2189558145
1000500,1990-02-06,-0.006471,582.55,0.000365,500,2174591819
1000500,1990-02-07,0.012745,589.98,0.000202,500,2201867348
1000500,1990-02-08,-0.002146,588.71,0.000059,499,2196124722
1000500,1990-02-09,0.002327,590.08,0.000473,500,2200195405
1000500,1990-02-12,-0.010160,584.09,0.000366,500,2177036081
1000500,1990-02-13,0.003099,585.90,0.000304,500,2183118953
1000500,1990-02-14,0.002925,587.61,0.000060,500,2189373916
1000500,1990-02-15,0.008808,592.79,0.000071,500,2208504385
1000500,1990-02-16,-0.006203,589.11,0.000275,500,2194197500
1000500,1990-02-20,-0.014207,580.74,0.000072,500,2162867973
1000500,1990-02-21,-0.000619,580.38,0.000007,500,2161513778
1000500,1990-02-22,-0.005867,576.98,0.000123,500,2148567051
1000500,1990-02-23,-0.004672,574.28,0.000262,500,2137967700
1000500,1990-02-26,0.014076,582.36,0.000278,500,2167466413
