Table 1.2.1. Percent Change From Preceding Period in Real Gross Domestic Product by Major Type of Product
Table 1.2.1. Percent Change From Preceding Period in Real Gross Domestic Product by Major Type of Product
"Last Revised on: February 20, 2026 - Next Release Date March 13, 2026"
Line,,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross domestic product",4.4,1.5,0.3,-3.6,-1.9,3.2,2.0,1.4,4.9,4.4,4.0,4.2,0.7,2.3,1.9,5.6,3.9,5.5,2.4,4.7,1.4,1.2,3.5,2.7,3.0,6.8,3.6,4.2,2.6,6.8,5.1,3.5,4.1,3.8,5.1,6.6,3.8,3.4,5.4,6.7,1.5,7.5,0.4,2.4,-1.3,2.5,-1.6,1.1,3.4,2.5,1.6,0.5,2.1,3.6,6.8,4.7,2.3,3.1,3.8,4.1,4.5,2.0,3.2,2.2,5.5,1.0,0.6,3.5,1.2,2.5,2.3,2.5,-1.7,2.4,-2.1,-8.5,-4.5,-0.7,1.4,4.4,1.9,3.9,3.1,2.1,-0.9,2.7,-0.1,4.6,3.4,1.8,0.6,0.5,4.0,1.1,3.5,3.5,-1.4,5.3,5.0,2.0,3.6,2.5,1.6,0.7,2.3,1.3,2.9,2.2,2.0,2.3,3.2,4.6,3.3,2.1,2.5,0.6,2.5,3.4,4.8,2.8,-5.2,-28.0,34.9,4.6
2,"              Final sales of domestic product",4.6,0.1,1.0,-1.6,-1.5,3.3,0.9,-0.5,6.8,2.9,4.2,4.1,-0.4,3.1,3.4,4.7,2.2,3.5,4.1,3.4,2.1,2.7,4.9,2.4,3.7,5.6,2.0,5.5,2.5,3.6,6.7,2.9,2.9,6.9,4.6,6.4,3.0,5.2,5.1,5.0,4.3,4.5,1.5,2.5,1.9,1.5,-0.5,3.1,0.6,1.2,1.6,0.3,2.2,4.8,6.6,3.6,2.0,2.2,4.2,3.9,3.7,4.4,3.5,0.1,5.8,1.1,0.4,4.5,1.6,2.1,2.8,2.7,-0.8,3.0,-2.5,-6.6,-2.6,0.3,1.7,-0.1,0.8,3.0,0.9,3.4,0.1,1.7,2.1,1.5,3.9,1.6,0.5,2.2,2.7,0.9,1.9,4.0,0.1,4.4,4.7,2.8,1.4,3.0,2.3,1.2,3.2,2.1,3.4,1.0,3.1,1.8,2.5,4.9,3.4,2.9,0.5,0.7,2.1,4.1,5.0,3.5,-4.0,-24.6,25.2,5.0
3,"              Change in private inventories",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4,Goods,5.9,0.5,-0.2,-7.8,-3.5,2.1,3.8,1.2,1.9,7.8,5.1,4.9,1.7,4.1,-2.9,9.9,9.0,8.4,1.5,11.7,1.5,-2.1,3.4,6.6,2.5,10.5,9.1,3.5,5.2,13.6,7.3,3.7,7.2,-2.9,8.1,13.6,4.7,3.9,7.3,10.1,-2.0,13.4,-1.5,1.6,-7.8,2.4,-5.7,3.1,4.3,2.5,3.4,-3.4,3.9,2.9,15.1,8.2,0.9,3.5,6.8,6.2,7.2,0.8,5.4,4.5,12.6,2.2,3.5,8.6,1.0,5.0,3.5,6.7,-5.2,3.6,-4.2,-23.7,-8.2,1.3,4.6,18.7,8.7,5.2,11.0,5.1,-0.5,6.4,-2.3,15.8,4.0,4.7,0.9,-0.6,13.3,-0.2,8.1,8.9,-6.2,11.0,8.8,-0.5,5.3,2.1,1.7,0.7,2.7,0.3,3.8,4.2,1.7,5.5,9.9,7.3,4.2,2.3,4.2,4.2,5.8,1.4,6.0,2.6,-4.8,-27.6,70.9,0.7
5,"        Final sales",6.3,-3.3,2.0,-2.3,-2.5,2.6,0.5,-4.2,7.4,3.5,5.7,4.6,-1.3,6.5,1.3,7.4,3.7,2.3,6.8,8.0,3.5,2.1,7.6,5.5,4.4,6.9,4.2,7.3,4.8,4.1,12.2,2.1,3.7,5.9,6.5,12.9,2.3,9.5,6.2,4.9,6.2,4.2,1.9,1.8,1.5,-0.8,-2.4,9.4,-4.0,-1.4,3.4,-4.1,4.1,7.1,14.2,4.4,-0.2,0.3,8.2,5.5,4.3,8.9,6.6,-2.7,13.9,2.4,2.9,12.2,2.5,3.8,5.1,7.2,-2.3,5.7,-5.5,-17.8,-1.5,4.8,5.5,1.5,4.3,2.1,2.9,9.8,3.0,2.9,5.1,4.7,5.9,4.1,0.7,5.1,8.7,-0.8,3.0,10.6,-1.6,8.1,8.2,1.8,-1.9,3.7,3.9,2.1,5.6,3.0,5.5,-0.1,5.5,4.1,7.7,8.4,4.8,4.9,-2.4,4.7,4.5,3.6,6.8,5.2,-0.8,-15.6,33.6,1.9
6,"        Change in private inventories",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
7,"    Durable goods",8.9,-2.8,-0.3,-13.7,-11.9,8.2,12.4,-5.8,1.1,15.1,5.6,6.8,7.1,6.1,0.0,14.0,6.3,5.5,5.6,13.5,6.9,-1.7,8.2,10.3,1.2,12.3,11.7,1.7,12.6,15.4,12.5,5.4,12.5,-2.7,12.4,17.0,6.1,3.2,14.7,8.5,6.0,10.6,-1.9,2.0,-9.2,0.9,-8.8,4.8,6.9,1.7,6.3,-4.0,2.0,7.8,15.5,12.3,-0.2,4.6,9.0,5.5,12.3,2.4,10.3,1.9,5.7,8.1,6.3,3.2,5.9,5.3,6.6,12.1,-10.6,0.7,-1.3,-24.6,-25.0,-0.5,10.1,17.5,19.3,9.0,10.3,4.1,7.4,5.6,5.5,8.4,7.7,6.4,0.1,2.4,9.6,-2.8,4.0,10.0,-2.6,9.8,10.2,-3.6,-1.5,4.4,1.5,2.5,2.5,0.1,7.0,6.9,-1.3,6.1,13.5,5.4,11.9,2.0,5.2,6.3,-0.7,5.5,6.4,-3.9,-3.4,-42.4,105.1,0.6
8,"        Final sales",16.6,-9.6,1.6,-5.3,-5.0,6.0,1.5,-4.5,6.9,5.4,9.1,7.5,-1.9,9.9,0.5,11.7,4.4,0.6,9.1,9.4,6.2,2.6,11.2,8.4,6.7,10.0,6.4,9.6,7.8,7.5,18.2,2.4,6.2,8.7,10.7,16.5,2.0,12.6,11.2,2.0,15.8,2.4,2.0,1.6,6.2,-4.0,-5.5,13.1,-9.3,-0.4,7.8,-7.6,2.2,14.2,17.2,4.4,0.6,0.9,11.3,6.5,5.6,11.1,11.0,-4.9,13.1,4.6,5.6,9.4,5.5,7.6,4.1,10.2,-4.4,4.0,-5.8,-22.5,-6.7,-0.1,7.3,-0.2,7.4,6.7,4.6,9.4,5.1,6.8,7.4,6.9,4.4,4.6,1.6,7.2,8.4,-0.8,-0.6,8.1,1.8,7.6,10.8,-0.5,-3.6,4.4,3.9,2.2,5.4,2.8,5.8,1.9,1.7,3.5,12.4,9.6,8.1,5.0,-2.4,5.2,3.0,4.4,6.9,6.6,-7.2,-15.2,33.1,1.1
9,"        Change in private inventories1",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
10,"    Nondurable goods",2.3,5.0,0.0,-0.1,7.1,-4.6,-5.6,10.1,2.8,-0.2,4.4,2.7,-4.4,1.8,-6.2,5.0,12.6,12.1,-3.3,9.5,-5.1,-2.6,-2.6,1.9,4.3,8.2,5.8,6.1,-4.2,11.2,0.4,1.4,0.0,-3.3,2.1,8.6,2.6,4.8,-2.9,12.6,-13.2,17.9,-0.9,0.9,-5.5,4.5,-1.0,0.6,0.7,3.6,-0.6,-2.6,6.6,-3.7,14.6,2.7,2.3,2.0,3.9,7.3,0.2,-1.6,-1.5,8.5,23.4,-5.9,-0.5,17.0,-5.6,4.6,-0.9,-0.9,3.5,7.8,-8.2,-22.6,19.5,3.6,-1.7,20.3,-3.4,0.5,12.0,6.4,-9.9,7.4,-12.0,26.5,-0.5,2.3,2.0,-4.3,18.4,3.3,13.5,7.4,-10.6,12.4,7.0,3.5,14.5,-0.7,2.0,-1.5,3.0,0.5,0.0,0.8,5.6,4.7,5.6,9.7,-4.9,2.8,3.0,1.4,15.0,-3.7,5.5,11.8,-6.6,-4.1,37.1,0.9
11,"        Final sales",-5.4,5.5,2.7,1.4,0.4,-1.4,-0.7,-3.9,8.1,1.2,1.8,1.2,-0.6,2.4,2.3,2.3,2.8,4.5,4.0,6.2,0.2,1.4,3.3,1.9,1.4,2.9,1.3,4.3,0.8,-0.6,4.2,1.7,0.3,1.9,0.6,7.9,2.7,5.0,-0.8,9.5,-6.8,7.0,1.7,2.1,-5.3,4.4,2.2,4.2,4.1,-2.9,-2.6,1.0,6.8,-2.2,10.0,4.3,-1.2,-0.4,4.1,4.0,2.5,5.7,0.4,0.6,15.2,-0.8,-0.9,16.3,-1.7,-1.6,6.5,3.1,0.8,8.3,-5.0,-10.7,5.8,11.5,3.4,3.7,0.5,-3.5,0.8,10.3,0.3,-2.0,2.1,2.0,7.8,3.5,-0.4,2.5,9.1,-0.9,7.9,13.8,-5.6,8.7,4.8,4.9,0.3,2.9,3.9,2.1,5.9,3.3,5.2,-2.7,10.4,4.8,2.0,6.8,0.6,4.8,-2.4,4.1,6.4,2.6,6.6,3.5,8.2,-16.0,34.3,2.9
12,"        Change in private inventories1",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
