Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars
Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars
"Last Revised on: February 20, 2026 - Next Release Date March 13, 2026"
Line,,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross value added of corporate business1",3417.0,3479.0,3488.7,3484.6,3510.4,3540.5,3570.5,3597.3,3677.5,3724.1,3745.8,3822.1,3799.8,3893.0,3933.1,4049.5,4081.9,4177.1,4250.4,4330.9,4372.4,4429.1,4524.4,4571.1,4654.7,4740.2,4806.3,4879.7,4992.1,5077.8,5200.8,5302.0,5350.0,5431.7,5530.3,5585.7,5699.6,5749.1,5816.4,5943.1,6143.3,6186.7,6272.7,6262.0,6250.1,6240.2,6178.2,6141.9,6209.2,6281.8,6310.7,6392.5,6375.1,6459.3,6581.5,6683.9,6757.4,6898.5,7051.0,7133.2,7273.8,7399.0,7528.1,7740.8,7898.5,7972.5,8098.6,8147.6,8172.0,8250.1,8180.7,8194.3,8193.0,8184.3,8185.7,7872.1,7718.8,7762.8,7815.6,7972.2,8002.4,8126.6,8376.1,8442.9,8421.1,8581.2,8677.9,8811.9,9063.2,9155.2,9150.2,9327.4,9347.7,9411.1,9454.8,9614.2,9709.3,9977.3,10187.4,10312.0,10390.7,10489.7,10525.4,10552.3,10597.8,10612.1,10710.2,10817.4,10935.8,11054.2,11160.7,11380.1,11563.1,11730.3,11909.4,11982.6,12172.9,12262.6,12383.4,12511.3,12339.0,11119.8,12169.5,12753.0
2,Consumption of fixed capital,444.3,451.2,458.2,465.1,472.1,477.9,482.5,486.0,488.4,491.7,496.0,501.3,507.5,513.8,520.4,527.1,533.9,542.1,551.7,562.6,574.9,586.0,596.0,604.8,612.4,621.0,630.6,641.3,653.0,664.5,675.8,686.9,697.8,709.0,720.6,732.6,744.9,759.7,777.0,796.8,819.1,835.8,847.0,852.5,871.3,886.8,894.2,902.1,907.9,911.1,917.2,922.2,923.9,929.0,934.9,942.2,953.5,965.4,977.1,996.0,1014.8,1032.8,1049.0,1071.7,1090.3,1109.3,1128.4,1149.2,1168.1,1182.8,1195.9,1208.9,1228.9,1247.7,1269.3,1281.1,1276.3,1262.8,1255.9,1259.7,1261.1,1266.9,1271.3,1283.6,1299.8,1317.5,1333.2,1347.7,1369.0,1385.5,1401.3,1412.3,1423.0,1439.0,1454.2,1474.5,1495.9,1514.2,1534.7,1552.4,1569.5,1582.6,1595.3,1601.6,1606.1,1623.2,1635.1,1655.2,1675.8,1698.0,1721.3,1742.1,1760.1,1783.1,1805.1,1826.0,1857.3,1885.2,1904.9,1919.9,1944.8,1961.7,1972.0,1994.3
3,Net value added,2972.7,3027.8,3030.6,3019.4,3038.3,3062.7,3088.0,3111.3,3189.1,3232.3,3249.8,3320.9,3292.4,3379.2,3412.7,3522.5,3548.0,3634.9,3698.8,3768.3,3797.4,3843.1,3928.4,3966.3,4042.3,4119.2,4175.7,4238.3,4339.0,4413.3,4525.0,4615.1,4652.3,4722.7,4809.7,4853.1,4954.7,4989.4,5039.4,5146.2,5324.2,5350.9,5425.8,5409.5,5378.8,5353.3,5284.0,5239.8,5301.3,5370.7,5393.5,5470.3,5451.1,5530.3,5646.6,5741.7,5803.9,5933.1,6073.9,6137.2,6259.0,6366.2,6479.1,6669.1,6808.2,6863.2,6970.2,6998.4,7003.9,7067.2,6984.8,6985.3,6964.1,6936.6,6916.4,6591.0,6442.6,6499.9,6559.7,6712.5,6741.3,6859.7,7104.8,7159.3,7121.3,7263.7,7344.7,7464.3,7694.2,7769.7,7748.9,7915.1,7924.7,7972.0,8000.6,8139.7,8213.5,8463.1,8652.6,8759.6,8821.2,8907.1,8930.1,8950.8,8991.8,8988.8,9075.1,9162.2,9260.0,9356.2,9439.4,9638.0,9803.0,9947.3,10104.3,10156.6,10315.6,10377.4,10478.5,10591.5,10394.2,9158.0,10197.4,10758.7
4,"    Compensation of employees",2195.8,2232.0,2256.4,2255.4,2239.1,2263.4,2289.7,2319.1,2370.5,2408.3,2432.1,2471.0,2459.9,2504.8,2527.6,2570.7,2581.4,2639.8,2666.7,2708.1,2741.6,2768.6,2804.0,2837.4,2877.5,2932.3,2979.4,3025.6,3090.4,3140.0,3198.8,3277.1,3354.5,3417.4,3479.0,3539.0,3608.6,3643.1,3694.9,3790.6,3945.7,3967.4,4051.0,4071.6,4057.7,4029.0,3990.3,3978.2,3941.3,3979.5,3982.0,3988.2,3947.1,4007.3,4066.4,4142.7,4116.9,4206.0,4303.7,4334.2,4345.8,4397.6,4483.0,4545.6,4620.0,4647.8,4678.8,4778.3,4859.9,4878.1,4890.5,4948.5,4963.8,4946.1,4944.5,4906.9,4598.9,4611.6,4592.7,4626.8,4576.7,4685.0,4747.4,4793.9,4885.6,4907.6,4975.6,4943.1,5081.9,5155.4,5164.3,5329.1,5292.9,5348.0,5359.5,5426.6,5555.8,5593.3,5668.0,5775.8,5857.0,5925.6,5985.7,6031.0,6032.2,6067.6,6130.0,6209.1,6299.4,6374.2,6467.4,6587.5,6673.0,6734.2,6834.8,6880.6,7047.8,7084.3,7104.4,7196.3,7260.2,6799.0,7143.8,7468.8
5,"        Wages and salaries",1814.9,1847.5,1868.7,1866.1,1847.2,1865.6,1884.2,1904.2,1940.8,1968.5,1984.2,2017.8,2001.9,2040.4,2058.5,2095.4,2098.3,2151.4,2176.0,2215.6,2252.2,2278.6,2311.7,2341.9,2378.9,2428.4,2471.4,2514.3,2575.6,2620.0,2670.6,2737.2,2804.3,2856.4,2909.3,2962.7,3028.7,3058.0,3100.9,3182.1,3314.6,3326.8,3398.9,3414.8,3389.0,3364.9,3332.6,3322.6,3269.3,3301.1,3303.1,3308.2,3258.3,3308.0,3356.8,3419.8,3400.3,3473.9,3554.5,3579.7,3583.6,3626.3,3696.8,3748.4,3833.1,3856.2,3882.0,3964.5,4041.1,4056.2,4066.5,4114.8,4125.9,4111.2,4109.9,4078.6,3806.8,3817.3,3801.7,3829.9,3794.0,3883.7,3935.5,3974.0,4060.7,4078.9,4135.4,4108.4,4239.2,4300.5,4307.9,4445.4,4408.9,4453.8,4463.0,4519.4,4644.1,4676.4,4739.3,4829.6,4906.9,4964.1,5014.2,5051.9,5065.4,5095.2,5147.7,5214.3,5284.2,5346.9,5425.2,5526.1,5593.8,5644.3,5726.8,5762.2,5915.6,5945.1,5964.2,6047.0,6118.3,5735.5,6029.4,6316.0
6,"        Supplements to wages and salaries",381.0,384.6,387.7,389.4,391.9,397.8,405.5,414.9,429.7,439.9,447.9,453.2,458.0,464.4,469.1,475.2,483.2,488.4,490.6,492.6,489.4,490.0,492.3,495.5,498.6,503.9,507.9,511.3,514.8,520.0,528.2,540.0,550.2,561.0,569.7,576.3,579.8,585.1,594.1,608.6,631.1,640.6,652.1,656.8,668.8,664.0,657.7,655.7,672.0,678.5,678.9,679.9,688.8,699.3,709.6,722.9,716.6,732.1,749.1,754.5,762.1,771.2,786.2,797.2,786.9,791.6,796.9,813.8,818.8,821.9,824.0,833.7,837.9,834.9,834.7,828.3,792.0,794.2,791.0,796.9,782.8,801.3,812.0,819.9,825.0,828.7,840.2,834.7,842.7,854.9,856.3,883.7,884.0,894.2,896.4,907.2,911.7,916.9,928.7,946.3,950.1,961.5,971.5,979.1,966.8,972.3,982.2,994.8,1015.2,1027.2,1042.2,1061.4,1079.2,1089.9,1108.0,1118.4,1132.2,1139.2,1140.2,1149.4,1141.9,1063.5,1114.4,1152.9
7,"    Taxes on production and imports less subsidies",276.0,281.4,287.3,293.2,300.2,305.2,310.5,315.8,319.8,323.5,327.9,332.4,334.5,340.1,345.3,355.2,366.8,375.2,379.6,382.7,381.9,381.7,385.7,389.6,390.5,396.0,399.7,407.4,406.4,415.7,420.3,425.4,423.7,428.2,433.3,437.9,443.4,449.5,457.4,465.3,473.0,478.9,481.5,485.4,471.6,465.2,455.6,485.2,485.9,492.2,502.5,509.4,515.5,513.1,532.6,535.9,555.8,564.2,571.5,586.0,598.6,612.6,622.3,631.5,643.8,650.9,659.5,663.9,669.1,673.7,675.7,686.7,682.5,688.4,690.7,678.3,651.3,652.0,649.3,669.3,673.7,684.2,688.5,693.4,710.6,719.7,719.0,725.5,739.7,741.0,740.6,751.4,769.6,772.3,779.7,785.1,798.5,811.0,818.2,824.1,825.6,833.2,836.3,844.4,841.1,844.0,858.7,863.1,866.7,877.7,889.9,904.2,927.0,938.7,953.8,973.1,977.8,988.3,1004.2,1003.0,991.9,277.6,298.3,745.7
8,"    Net operating surplus",500.9,514.4,486.9,470.8,499.0,494.1,487.8,476.3,498.8,500.5,489.8,517.5,498.0,534.3,539.8,596.6,599.7,619.9,652.5,677.4,673.9,692.7,738.7,739.3,774.3,790.9,796.6,805.3,842.3,857.6,905.9,912.6,874.1,877.1,897.4,876.2,902.7,896.7,887.1,890.3,905.5,904.6,893.2,852.5,849.4,859.2,838.1,776.4,874.1,898.9,909.0,972.8,988.5,1009.9,1047.6,1063.0,1131.1,1162.9,1198.7,1217.0,1314.6,1356.0,1373.7,1492.0,1544.5,1564.5,1631.9,1556.2,1475.0,1515.5,1418.6,1350.1,1317.8,1302.1,1281.2,1005.9,1192.4,1236.4,1317.8,1416.5,1490.9,1490.6,1668.8,1672.0,1525.1,1636.4,1650.2,1795.7,1872.6,1873.2,1843.9,1834.7,1862.1,1851.8,1861.5,1928.0,1859.2,2058.8,2166.5,2159.7,2138.6,2148.3,2108.1,2075.5,2118.5,2077.2,2086.5,2090.0,2093.9,2104.3,2082.1,2146.3,2203.0,2274.3,2315.7,2302.8,2290.0,2304.7,2369.9,2392.1,2142.1,2081.4,2755.3,2544.2
9,"        Net interest and miscellaneous payments",122.0,119.1,115.5,107.4,97.7,87.5,78.1,70.2,64.5,59.5,57.2,56.7,57.8,57.8,56.6,54.3,50.9,48.8,48.1,48.4,50.5,51.3,51.2,49.1,46.5,45.2,46.0,47.9,54.4,57.7,64.8,74.8,98.6,97.2,95.6,92.5,88.5,89.7,96.1,107.1,123.2,134.2,141.8,144.1,141.8,135.0,124.6,108.8,92.0,79.6,72.6,69.8,71.8,68.5,56.6,38.3,12.0,-4.0,-11.1,-7.2,5.2,17.9,30.9,43.1,56.9,68.6,76.1,83.7,90.3,101.3,119.6,142.4,169.8,185.2,183.8,167.3,141.4,121.6,106.6,99.7,97.2,95.3,92.0,88.4,83.6,86.3,96.9,113.7,138.2,153.2,157.9,153.1,136.8,127.1,123.1,126.7,135.2,147.1,162.2,180.0,201.7,217.1,226.2,229.0,225.5,226.5,232.1,242.2,251.5,262.2,274.2,287.5,302.1,308.0,305.1,293.6,271.5,260.0,258.9,268.2,282.6,290.6,290.5,292.3
